,LatD," ""LatM"""," ""LatS"""," ""NS"""," ""LonD"""," ""LonM"""," ""LonS"""," ""EW"""," ""City"""," ""State""",zip_code
0,41,5,59," ""N""",80,39,0," ""W"""," ""Youngstown""", OH,NAN
1,42,52,48," ""N""",97,23,23," ""W"""," ""Yankton""", SD,NAN
2,46,35,59," ""N""",120,30,36," ""W"""," ""Yakima""", WA,NAN
3,42,16,12," ""N""",71,48,0," ""W"""," ""Worcester""", MA,NAN
4,43,37,48," ""N""",89,46,11," ""W"""," ""Wisconsin Dells""", WI,NAN
5,36,5,59," ""N""",80,15,0," ""W"""," ""Winston-Salem""", NC,NAN
6,49,52,48," ""N""",97,9,0," ""W"""," ""Winnipeg""", MB,NAN
7,39,11,23," ""N""",78,9,36," ""W"""," ""Winchester""", VA,NAN
8,34,14,24," ""N""",77,55,11," ""W"""," ""Wilmington""", NC,NAN
9,39,45,0," ""N""",75,33,0," ""W"""," ""Wilmington""", DE,NAN
10,48,9,0," ""N""",103,37,12," ""W"""," ""Williston""", ND,NAN
11,41,15,0," ""N""",77,0,0," ""W"""," ""Williamsport""", PA,NAN
12,37,40,48," ""N""",82,16,47," ""W"""," ""Williamson""", WV,NAN
13,33,54,0," ""N""",98,29,23," ""W"""," ""Wichita Falls""", TX,NAN
14,37,41,23," ""N""",97,20,23," ""W"""," ""Wichita""", KS,NAN
15,40,4,11," ""N""",80,43,12," ""W"""," ""Wheeling""", WV,NAN
16,26,43,11," ""N""",80,3,0," ""W"""," ""West Palm Beach""", FL,NAN
17,47,25,11," ""N""",120,19,11," ""W"""," ""Wenatchee""", WA,NAN
18,41,25,11," ""N""",122,23,23," ""W"""," ""Weed""", CA,NAN
19,31,13,11," ""N""",82,20,59," ""W"""," ""Waycross""", GA,NAN
20,44,57,35," ""N""",89,38,23," ""W"""," ""Wausau""", WI,NAN
21,42,21,36," ""N""",87,49,48," ""W"""," ""Waukegan""", IL,NAN
22,44,54,0," ""N""",97,6,36," ""W"""," ""Watertown""", SD,NAN
23,43,58,47," ""N""",75,55,11," ""W"""," ""Watertown""", NY,NAN
24,42,30,0," ""N""",92,20,23," ""W"""," ""Waterloo""", IA,NAN
25,41,32,59," ""N""",73,3,0," ""W"""," ""Waterbury""", CT,NAN
26,38,53,23," ""N""",77,1,47," ""W"""," ""Washington""", DC,NAN
27,41,50,59," ""N""",79,8,23," ""W"""," ""Warren""", PA,NAN
28,46,4,11," ""N""",118,19,48," ""W"""," ""Walla Walla""", WA,NAN
29,31,32,59," ""N""",97,8,23," ""W"""," ""Waco""", TX,NAN
30,38,40,48," ""N""",87,31,47," ""W"""," ""Vincennes""", IN,NAN
31,28,48,35," ""N""",97,0,36," ""W"""," ""Victoria""", TX,NAN
32,32,20,59," ""N""",90,52,47," ""W"""," ""Vicksburg""", MS,NAN
33,49,16,12," ""N""",123,7,12," ""W"""," ""Vancouver""", BC,NAN
34,46,55,11," ""N""",98,0,36," ""W"""," ""Valley City""", ND,NAN
35,30,49,47," ""N""",83,16,47," ""W"""," ""Valdosta""", GA,NAN
36,43,6,36," ""N""",75,13,48," ""W"""," ""Utica""", NY,NAN
37,39,54,0," ""N""",79,43,48," ""W"""," ""Uniontown""", PA,NAN
38,32,20,59," ""N""",95,18,0," ""W"""," ""Tyler""", TX,NAN
39,42,33,36," ""N""",114,28,12," ""W"""," ""Twin Falls""", ID,NAN
40,33,12,35," ""N""",87,34,11," ""W"""," ""Tuscaloosa""", AL,NAN
41,34,15,35," ""N""",88,42,35," ""W"""," ""Tupelo""", MS,NAN
42,36,9,35," ""N""",95,54,36," ""W"""," ""Tulsa""", OK,NAN
43,32,13,12," ""N""",110,58,12," ""W"""," ""Tucson""", AZ,NAN
44,37,10,11," ""N""",104,30,36," ""W"""," ""Trinidad""", CO,NAN
45,40,13,47," ""N""",74,46,11," ""W"""," ""Trenton""", NJ,NAN
46,44,45,35," ""N""",85,37,47," ""W"""," ""Traverse City""", MI,NAN
47,43,39,0," ""N""",79,22,47," ""W"""," ""Toronto""", ON,NAN
48,39,2,59," ""N""",95,40,11," ""W"""," ""Topeka""", KS,NAN
49,41,39,0," ""N""",83,32,24," ""W"""," ""Toledo""", OH,NAN
50,33,25,48," ""N""",94,3,0," ""W"""," ""Texarkana""", TX,NAN
51,39,28,12," ""N""",87,24,36," ""W"""," ""Terre Haute""", IN,NAN
52,27,57,0," ""N""",82,26,59," ""W"""," ""Tampa""", FL,NAN
53,30,27,0," ""N""",84,16,47," ""W"""," ""Tallahassee""", FL,NAN
54,47,14,24," ""N""",122,25,48," ""W"""," ""Tacoma""", WA,NAN
55,43,2,59," ""N""",76,9,0," ""W"""," ""Syracuse""", NY,NAN
56,32,35,59," ""N""",82,20,23," ""W"""," ""Swainsboro""", GA,NAN
57,33,55,11," ""N""",80,20,59," ""W"""," ""Sumter""", SC,NAN
58,40,59,24," ""N""",75,11,24," ""W"""," ""Stroudsburg""", PA,NAN
59,37,57,35," ""N""",121,17,24," ""W"""," ""Stockton""", CA,NAN
60,44,31,12," ""N""",89,34,11," ""W"""," ""Stevens Point""", WI,NAN
61,40,21,36," ""N""",80,37,12," ""W"""," ""Steubenville""", OH,NAN
62,40,37,11," ""N""",103,13,12," ""W"""," ""Sterling""", CO,NAN
63,38,9,0," ""N""",79,4,11," ""W"""," ""Staunton""", VA,NAN
64,39,55,11," ""N""",83,48,35," ""W"""," ""Springfield""", OH,NAN
65,37,13,12," ""N""",93,17,24," ""W"""," ""Springfield""", MO,NAN
66,42,5,59," ""N""",72,35,23," ""W"""," ""Springfield""", MA,NAN
67,39,47,59," ""N""",89,39,0," ""W"""," ""Springfield""", IL,NAN
68,47,40,11," ""N""",117,24,36," ""W"""," ""Spokane""", WA,NAN
69,41,40,48," ""N""",86,15,0," ""W"""," ""South Bend""", IN,NAN
70,43,32,24," ""N""",96,43,48," ""W"""," ""Sioux Falls""", SD,NAN
71,42,29,24," ""N""",96,23,23," ""W"""," ""Sioux City""", IA,NAN
72,32,30,35," ""N""",93,45,0," ""W"""," ""Shreveport""", LA,NAN
73,33,38,23," ""N""",96,36,36," ""W"""," ""Sherman""", TX,NAN
74,44,47,59," ""N""",106,57,35," ""W"""," ""Sheridan""", WY,NAN
75,35,13,47," ""N""",96,40,48," ""W"""," ""Seminole""", OK,NAN
76,32,25,11," ""N""",87,1,11," ""W"""," ""Selma""", AL,NAN
77,38,42,35," ""N""",93,13,48," ""W"""," ""Sedalia""", MO,NAN
78,47,35,59," ""N""",122,19,48," ""W"""," ""Seattle""", WA,NAN
79,41,24,35," ""N""",75,40,11," ""W"""," ""Scranton""", PA,NAN
80,41,52,11," ""N""",103,39,36," ""W"""," ""Scottsbluff""", NB,NAN
81,42,49,11," ""N""",73,56,59," ""W"""," ""Schenectady""", NY,NAN
82,32,4,48," ""N""",81,5,23," ""W"""," ""Savannah""", GA,NAN
83,46,29,24," ""N""",84,20,59," ""W"""," ""Sault Sainte Marie""", MI,NAN
84,27,20,24," ""N""",82,31,47," ""W"""," ""Sarasota""", FL,NAN
85,38,26,23," ""N""",122,43,12," ""W"""," ""Santa Rosa""", CA,NAN
86,35,40,48," ""N""",105,56,59," ""W"""," ""Santa Fe""", NM,NAN
87,34,25,11," ""N""",119,41,59," ""W"""," ""Santa Barbara""", CA,NAN
88,33,45,35," ""N""",117,52,12," ""W"""," ""Santa Ana""", CA,NAN
89,37,20,24," ""N""",121,52,47," ""W"""," ""San Jose""", CA,NAN
90,37,46,47," ""N""",122,25,11," ""W"""," ""San Francisco""", CA,NAN
91,41,27,0," ""N""",82,42,35," ""W"""," ""Sandusky""", OH,NAN
92,32,42,35," ""N""",117,9,0," ""W"""," ""San Diego""", CA,NAN
93,34,6,36," ""N""",117,18,35," ""W"""," ""San Bernardino""", CA,NAN
94,29,25,12," ""N""",98,30,0," ""W"""," ""San Antonio""", TX,NAN
95,31,27,35," ""N""",100,26,24," ""W"""," ""San Angelo""", TX,NAN
96,40,45,35," ""N""",111,52,47," ""W"""," ""Salt Lake City""", UT,NAN
97,38,22,11," ""N""",75,35,59," ""W"""," ""Salisbury""", MD,NAN
98,36,40,11," ""N""",121,39,0," ""W"""," ""Salinas""", CA,NAN
99,38,50,24," ""N""",97,36,36," ""W"""," ""Salina""", KS,NAN
100,38,31,47," ""N""",106,0,0," ""W"""," ""Salida""", CO,NAN
101,44,56,23," ""N""",123,1,47," ""W"""," ""Salem""", OR,NAN
102,44,57,0," ""N""",93,5,59," ""W"""," ""Saint Paul""", MN,NAN
103,38,37,11," ""N""",90,11,24," ""W"""," ""Saint Louis""", MO,NAN
104,39,46,12," ""N""",94,50,23," ""W"""," ""Saint Joseph""", MO,NAN
105,42,5,59," ""N""",86,28,48," ""W"""," ""Saint Joseph""", MI,NAN
106,44,25,11," ""N""",72,1,11," ""W"""," ""Saint Johnsbury""", VT,NAN
107,45,34,11," ""N""",94,10,11," ""W"""," ""Saint Cloud""", MN,NAN
108,29,53,23," ""N""",81,19,11," ""W"""," ""Saint Augustine""", FL,NAN
109,43,25,48," ""N""",83,56,24," ""W"""," ""Saginaw""", MI,NAN
110,38,35,24," ""N""",121,29,23," ""W"""," ""Sacramento""", CA,NAN
111,43,36,36," ""N""",72,58,12," ""W"""," ""Rutland""", VT,NAN
112,33,24,0," ""N""",104,31,47," ""W"""," ""Roswell""", NM,NAN
113,35,56,23," ""N""",77,48,0," ""W"""," ""Rocky Mount""", NC,NAN
114,41,35,24," ""N""",109,13,48," ""W"""," ""Rock Springs""", WY,NAN
115,42,16,12," ""N""",89,5,59," ""W"""," ""Rockford""", IL,NAN
116,43,9,35," ""N""",77,36,36," ""W"""," ""Rochester""", NY,NAN
117,44,1,12," ""N""",92,27,35," ""W"""," ""Rochester""", MN,NAN
118,37,16,12," ""N""",79,56,24," ""W"""," ""Roanoke""", VA,NAN
119,37,32,24," ""N""",77,26,59," ""W"""," ""Richmond""", VA,NAN
120,39,49,48," ""N""",84,53,23," ""W"""," ""Richmond""", IN,NAN
121,38,46,12," ""N""",112,5,23," ""W"""," ""Richfield""", UT,NAN
122,45,38,23," ""N""",89,25,11," ""W"""," ""Rhinelander""", WI,NAN
123,39,31,12," ""N""",119,48,35," ""W"""," ""Reno""", NV,NAN
124,50,25,11," ""N""",104,39,0," ""W"""," ""Regina""", SA,NAN
125,40,10,48," ""N""",122,14,23," ""W"""," ""Red Bluff""", CA,NAN
126,40,19,48," ""N""",75,55,48," ""W"""," ""Reading""", PA,NAN
127,41,9,35," ""N""",81,14,23," ""W"""," ""Ravenna""", OH ,NAN
